verb_root,root_sense,root_fv
mɛð,plait,plait
ɔɾ,insult,insult
aɾ,aɾ,aɾ
duɾ,stop,stop
ad,touch,touch
adɔŋɔn,hold,hold
kəlc,spread,spread
waj,wash,wash
dʒið,milk,milk
vaɽ,return (transitive),return (transitive)
it̪,go,go
ɛl,ɛl,ɛl
vəlɛð,pull,pull
dɔŋð,push,push
abuð,dance,dance
kaɾ,break,break
vaɾ,escape,escape
vrð,throw,throw
ur,climb down,climb down
id,fall,fall
bɔl,wrestle,wrestle
ðiɲ(2),scare,scare
ðiɲ(1),fear,fear
ud,burn,burn
iɾdɛc,deceive,deceive
amac,wait,wait
amiɲ,love,love
avəðac,press,press
kaɾc,look for,look for
lac,shake,shake
lɛŋc,speak to,speak to
ləvc,steal,steal
ŋatc,give,give
ɔɽɟɛc,help,help
uɽc,jump,jump
ɲɛlac,tickle,tickle
ciŋɡəlal,tickle,tickle
ɾac,pour,pour
ib,marry,marry
kɛc,take,take
ɔŋɔŋɔnij,help,help
rlɛɲ,chase,chase
uɽiðið,mix,mix
utið,call,call
vəlɛc,visit,visit
ircəc,teach/learn,teach/learn
abrt̪,ride,ride
abot̪,climb up,climb up
aɽəŋat̪,fetch,fetch
aleŋ,sing,sing
ap,carry,carry
arð,shave,shave
burŋ,forget,forget
ɽiɲ,kill,kill
keɲ,shatter,shatter
kɔt̪,braid,braid
leŋt̪,know,know
lɔɽ,speak,speak
miɲ,exit,exit
m,take,take
nɛð,refuse/hate,refuse/hate
ŋarð,tear,tear
n,listen,listen
nɔn,look,look
ɔd,build,build
ɔɽ,run,run
ɛrd,dance,dance
ɾland,close,close
r,stab,stab
t̪əv,slice,slice
t̪ɔɽ,write,write
t̪ɔt̪,throw,throw
vɾað,sweep,sweep
jɛð,bite,bite
j,eat,eat
ð,slice,slice
ŋaŋ,scratch,scratch
amɔn,care,care
ant̪,enter,enter
ɜðɜŋin,remember,remember
biɽ,hit,hit
ilɛð,buy/sell,buy/sell
ind̪ɛt̪,find,find
ið,ɔɔ,ɔɔ
kið,open,open
mut̪in,smell,smell
ɔŋɔŋɔn,rest,rest
p,hit,hit
t̪,drink,drink
tut,cough,cough
ud̪,kindle,kindle
umɛð,count,count
urmuð,laugh,laugh
mut̪,sip,sip
aɽið,form,form
aŋ,see,see
aj,die,die
nd,sleep,sleep
t̪(2),be lost,be lost
var,run,run
ruŋ,wait,wait
abr,jump,jump
aɽ,put,put
ɛɽð,ask,ask
aw,urinate,urinate
tuð,rise,rise
uɽið,return,return
ɔrn,be named,be named
laɽ,plough,plough
kablat̪,hide,hide
ŋal,yawn,yawn
ɔð,grind,grind
piɽ,remove,remove
rd,have,have
kɛɾ,destroy,destroy
ij,beat,beat
avt̪,set down,set down
mɛɾð,bite,bite
ɾɔð,cook,cook
aɾl,step on,step on
avəl,lift,lift
adij,stay,stay
dɔɽðat̪,fix,fix
rn,swallow,swallow
ɽot̪,cover,cover
kwɔt̪,repair,repair
kwɔð,sow/pierce,sow/pierce
laŋ,lay egg,lay egg
ləŋ,give birth,give birth
ŋat̪,taste,taste
ɔbəð,shoot/rub,shoot/rub
ɔɽaɡið,foregather,foregather
uɾɛt̪,dig,dig
um,hurt,hurt
eit̪,allow,allow
ðuɽ,breastfeed,breastfeed
ɽaɲið,mourn,mourn
ut̪,choose,choose
man,boil,boil
ruð,sharpen,sharpen
vɛð,vomit,vomit
aŋc,show,show
bul,wrestle (transitive),wrestle (transitive)
bəɽalu,fall,fall
aŋiðɔŋin,think about,think about
aɾt̪,tell,tell
eðin,happen,happen
kaɾn,be called,be called
